20230901	13:48:00	78468fe0-7258-4efd-a4d8-1881d7645410	OPTIONS	/auth/login	http://localhost:3000
20230901	13:48:00	67db93c0-c69d-42d7-bc20-4807c197583c	POST	/auth/login	http://localhost:3000
20230901	13:56:29	5ad40e45-65c4-4e77-b834-fb242d7c956b	OPTIONS	/auth/login	http://localhost:3000
20230901	13:56:29	232e0c89-30f2-4368-a2c0-45482c00272a	POST	/auth/login	http://localhost:3000
20230901	13:56:37	a972c9ae-7ad1-49c0-8d76-534e3c70ab25	OPTIONS	/auth/login	http://localhost:3000
20230901	13:56:37	543d12f4-8926-41ee-a215-917d46119b74	POST	/auth/login	http://localhost:3000
20230901	13:57:49	6b86ac16-314a-468a-9cd7-78ddc0e69e2e	OPTIONS	/auth/login	http://localhost:3000
20230901	13:57:49	0cd4a5e9-03d2-42f2-83c1-5903dc4d13ae	POST	/auth/login	http://localhost:3000
20230901	13:58:48	2b697079-c6c4-4396-959b-f802226174c4	OPTIONS	/auth/login	http://localhost:3000
20230901	13:58:48	93b687bf-6122-4089-9971-f4c82d3ded4b	POST	/auth/login	http://localhost:3000
20230901	14:00:20	b0ccc79b-e41a-442a-8f02-30b422c4e38b	OPTIONS	/auth/logout	http://localhost:3000
20230901	14:00:20	8516f2d0-9c0f-4342-b700-0790dacdb4d6	POST	/auth/logout	http://localhost:3000
20230901	14:00:20	f60a336a-01c3-4fdf-8bfa-786eb2986c9f	POST	/auth/logout	http://localhost:3000
20230901	14:08:36	29846832-5ded-4e87-b4f7-4ad05523ee83	OPTIONS	/auth/login	http://localhost:3000
20230901	14:08:36	5d8e67ab-1c62-4d06-90ef-9fcc1c4ca5d9	POST	/auth/login	http://localhost:3000
20230901	14:10:07	5026f4d6-470b-4dfd-8522-dc6781b4b369	OPTIONS	/auth/login	http://localhost:3000
20230901	14:10:07	27e6db19-2a13-4b50-88ac-f1a1b404c5d9	POST	/auth/login	http://localhost:3000
20230901	14:10:37	fbda9493-468b-4be6-b807-8c3de88aec0c	OPTIONS	/auth/login	http://localhost:3000
20230901	14:10:37	912604df-9b27-4bf3-a3c8-546575bc5434	POST	/auth/login	http://localhost:3000
20230901	14:11:45	47043768-72ac-4395-adb9-8e2ee5edcab2	OPTIONS	/auth/login	http://localhost:3000
20230901	14:11:45	8c77b995-183e-4940-aa1a-3fa1ac9c158b	POST	/auth/login	http://localhost:3000
20230901	14:14:26	f846a213-bd6e-48bf-a33d-57e0b2871e9d	OPTIONS	/auth/login	http://localhost:3000
20230901	14:14:26	5ca27188-f331-4991-b408-0ef3c440c708	POST	/auth/login	http://localhost:3000
20230901	14:14:41	5fd47a9b-4c0b-49fd-900e-1fb64b51e8ad	OPTIONS	/auth/login	http://localhost:3000
20230901	14:14:41	452cfb0d-a873-40bc-a51d-be81e4e96724	POST	/auth/login	http://localhost:3000
20230901	14:15:24	69e556ae-7e44-4aaf-9542-e65a42561341	OPTIONS	/auth/login	http://localhost:3000
20230901	14:15:24	206bcba3-6854-4b5c-b582-60aa3371e478	POST	/auth/login	http://localhost:3000
20230904	22:20:28	d1aa5a2a-5230-4844-aece-5e5c2cfcbb10	OPTIONS	/auth/login	http://localhost:3000
20230904	22:20:28	eb93ff1a-e665-48f2-adbd-32cfac6e6e18	POST	/auth/login	http://localhost:3000
20230904	22:20:48	0e6057b0-d777-4524-af33-fc2e2b34c2f3	OPTIONS	/auth/login	http://localhost:3000
20230904	22:20:48	927106bd-0590-4063-a5f8-24039e9d8e22	POST	/auth/login	http://localhost:3000
20230904	22:20:58	3a0464db-d34c-4f9a-897d-3795f18e809b	OPTIONS	/auth/login	http://localhost:3000
20230904	22:20:58	d14dcbb0-328a-4405-a20a-3c512601a817	POST	/auth/login	http://localhost:3000
20230904	22:21:15	5cb41da9-1d77-45da-bb51-35cfa1863935	OPTIONS	/users/register	http://localhost:3000
20230904	22:21:15	3a929c50-a1ba-4466-8782-7b6aa9ac47df	POST	/users/register	http://localhost:3000
20230904	22:21:49	d35489c8-c47e-4430-a29f-eb22973c3fe2	OPTIONS	/auth/login	http://localhost:3000
20230904	22:21:49	45f5ae4a-e0bf-4be1-a767-67c27a6e87f0	POST	/auth/login	http://localhost:3000
20230904	22:21:55	338759f3-4685-477e-ada6-547fd9182c16	OPTIONS	/auth/login	http://localhost:3000
20230904	22:21:55	d73233a6-0653-4a79-b21e-31e4f49598dd	POST	/auth/login	http://localhost:3000
20230904	22:22:09	47e5ca46-0930-4dc9-a797-22fbb802d7b6	OPTIONS	/auth/login	http://localhost:3000
20230904	22:22:09	908f9a95-b6fb-43dc-8b18-0e85ebabcf42	POST	/auth/login	http://localhost:3000
20230904	22:22:15	04dc921d-2b77-440c-b71f-1d284abdc4c1	OPTIONS	/auth/login	http://localhost:3000
20230904	22:22:15	339521d8-ddb2-47f0-8e24-49739ef03c4e	POST	/auth/login	http://localhost:3000
20230904	22:22:25	094a1cc5-1f92-46c6-bc29-ee10524d1c28	OPTIONS	/auth/login	http://localhost:3000
20230904	22:22:25	129ae439-3d16-4ee3-bcfd-6de0557f9a1a	POST	/auth/login	http://localhost:3000
20230904	22:22:34	b73db5f7-afa5-43dd-ad86-ecb0ef04efd6	OPTIONS	/auth/login	http://localhost:3000
20230904	22:22:34	516d76c9-6ed4-4550-82ac-3c1006aacead	POST	/auth/login	http://localhost:3000
20230904	22:23:17	372058c8-0d5b-4bab-bee2-898881de77a2	OPTIONS	/users/register	http://localhost:3000
20230904	22:23:17	02ccd2de-80d6-4413-8a8f-874ee9fd19f4	POST	/users/register	http://localhost:3000
20230904	22:26:55	0bb12198-6835-4133-8494-70142fb06175	OPTIONS	/auth/login	http://localhost:3000
20230904	22:26:55	e4420835-1d48-417f-bd91-3eb1c276860f	POST	/auth/login	http://localhost:3000
20230904	22:27:12	ee812e0a-8fe2-41ee-a2a8-8fbac0c9afee	OPTIONS	/users/register	http://localhost:3000
20230904	22:27:12	abfed7ad-6a5d-48b4-8293-099267ba1acc	POST	/users/register	http://localhost:3000
20230904	22:28:30	23ed8770-2976-42f0-9fbe-662fe1eb3536	OPTIONS	/users/register	http://localhost:3000
20230904	22:28:30	d37f718f-e25d-4997-8f05-f08ac6c558d8	POST	/users/register	http://localhost:3000
20230904	22:29:08	8e9ba461-9bfa-43e2-b285-27fc3009c73c	OPTIONS	/users/register	http://localhost:3000
20230904	22:29:08	9874ed34-7138-4d73-b97c-acbe8168189b	POST	/users/register	http://localhost:3000
20230904	22:30:30	a6905325-fffe-4da7-afec-e3443ea6c2d4	OPTIONS	/auth/login	http://localhost:3000
20230904	22:30:30	0b649e1c-1bf1-4270-9b40-1f02628b1abc	POST	/auth/login	http://localhost:3000
20230904	22:30:47	adbdd148-ca5c-4efc-8037-988d55322093	OPTIONS	/auth/login	http://localhost:3000
20230904	22:30:47	42015c77-6f98-4320-9883-52c021bc4e16	POST	/auth/login	http://localhost:3000
20230904	22:31:25	c24e35f0-dcd3-49b2-aa25-da97e8f3b44e	OPTIONS	/auth/login	http://localhost:3000
20230904	22:31:25	6242976b-ee70-44a6-b595-3fe87be70b1c	POST	/auth/login	http://localhost:3000
20230904	22:31:44	c3e3ed8a-5a7c-4c60-9c10-699d6909c91d	OPTIONS	/auth/login	http://localhost:3000
20230904	22:31:44	1b63f2a0-7144-402b-add6-eddedefaf5c9	POST	/auth/login	http://localhost:3000
20230904	22:31:54	e80e0901-41b3-4eb8-a40a-71057747d113	OPTIONS	/auth/login	http://localhost:3000
20230904	22:31:54	d5157365-d6e2-4b8b-bbba-c0c5c80419dd	POST	/auth/login	http://localhost:3000
20230904	22:33:11	2088298b-eaf9-4c3d-8d79-6ab732ab68c2	OPTIONS	/auth/login	http://localhost:3000
20230904	22:33:11	1778c47e-0429-4fe7-b0a4-a451f208f19d	POST	/auth/login	http://localhost:3000
20230904	22:34:02	aaf93d55-d7ef-44fe-a853-8baac4bab6c3	OPTIONS	/users/register	http://localhost:3000
20230904	22:34:02	733af588-095c-44fb-a8ab-eed3b81a7905	POST	/users/register	http://localhost:3000
20230905	12:00:23	81249e01-5fb0-4e51-bc94-c168e2fc99db	OPTIONS	/users/register	http://localhost:3000
20230905	12:00:23	07d2d54d-e149-4fc3-98a4-ef780322860f	POST	/users/register	http://localhost:3000
20230905	12:03:23	118cbcc7-b44b-45d9-8297-149fb91e2b8c	OPTIONS	/users/register	http://localhost:3000
20230905	12:03:23	25c44f17-61ef-44ea-a6ad-300c0539aa18	POST	/users/register	http://localhost:3000
20230905	12:05:34	29037304-f238-40b6-b183-04049a285d82	OPTIONS	/users/register	http://localhost:3000
20230905	12:05:34	af9e65b4-45e2-4d85-baed-bab4acf4bd31	POST	/users/register	http://localhost:3000
20230905	12:19:08	4b45d93f-e883-470a-baf3-179e531eeb92	OPTIONS	/auth/login	http://localhost:3000
20230905	12:19:08	00fd962d-bb1e-4929-95bf-b680ca9d5266	POST	/auth/login	http://localhost:3000
20230905	12:19:08	58be7dc5-d8c7-45e1-8f61-37bf65028b3c	OPTIONS	/users/city	http://localhost:3000
20230905	12:19:08	46db650b-a073-4dc4-b86f-56131e08168c	POST	/users/city	http://localhost:3000
20230910	17:26:29	36d2e86f-7fb8-4227-8ecb-1b45ec553265	OPTIONS	/reports/create	http://localhost:3000
20230910	17:26:29	a65392f1-9431-4a75-96f8-3216e0d55826	POST	/reports/create	http://localhost:3000
